2024-04-10 14:02:55 install libcrypt1:amd64 <none> 1:4.4.36-2
2024-04-10 14:02:55 status half-installed libcrypt1:amd64 1:4.4.36-2
2024-04-10 14:02:55 status unpacked libcrypt1:amd64 1:4.4.36-2
2024-04-10 14:02:55 install libdb5.3:amd64 <none> 5.3.28+dfsg2-2
2024-04-10 14:02:55 status half-installed libdb5.3:amd64 5.3.28+dfsg2-2
2024-04-10 14:02:55 status unpacked libdb5.3:amd64 5.3.28+dfsg2-2
2024-04-10 14:02:55 install libdebconfclient0:amd64 <none> 0.270ubuntu1
2024-04-10 14:02:55 status half-installed libdebconfclient0:amd64 0.270ubuntu1
2024-04-10 14:02:55 status unpacked libdebconfclient0:amd64 0.270ubuntu1
2024-04-10 14:02:55 install libext2fs2:amd64 <none> 1.47.0-2ubuntu1
2024-04-10 14:02:55 status half-installed libext2fs2:amd64 1.47.0-2ubuntu1
2024-04-10 14:02:55 status unpacked libext2fs2:amd64 1.47.0-2ubuntu1
2024-04-10 14:02:55 install libgcc-s1:amd64 <none> 13.2.0-4ubuntu3
2024-04-10 14:02:55 status half-installed libgcc-s1:amd64 13.2.0-4ubuntu3
2024-04-10 14:02:55 status unpacked libgcc-s1:amd64 13.2.0-4ubuntu3
2024-04-10 14:02:55 install libgcrypt20:amd64 <none> 1.10.2-3ubuntu1
2024-04-10 14:02:55 status half-installed libgcrypt20:amd64 1.10.2-3ubuntu1
2024-04-10 14:02:55 status unpacked libgcrypt20:amd64 1.10.2-3ubuntu1
2024-04-10 14:02:55 install libgmp10:amd64 <none> 2:6.3.0+dfsg-2ubuntu4
2024-04-10 14:02:55 status half-installed libgmp10:amd64 2:6.3.0+dfsg-2ubuntu4
2024-04-10 14:02:55 status unpacked libgmp10:amd64 2:6.3.0+dfsg-2ubuntu4
2024-04-10 14:02:55 install libgpg-error0:amd64 <none> 1.47-2
2024-04-10 14:02:55 status half-installed libgpg-error0:amd64 1.47-2
2024-04-10 14:02:55 status unpacked libgpg-error0:amd64 1.47-2
2024-04-10 14:02:55 install liblz4-1:amd64 <none> 1.9.4-1
2024-04-10 14:02:55 status half-installed liblz4-1:amd64 1.9.4-1
2024-04-10 14:02:55 status unpacked liblz4-1:amd64 1.9.4-1
2024-04-10 14:02:55 install liblzma5:amd64 <none> 5.4.1-0.2
2024-04-10 14:02:55 status half-installed liblzma5:amd64 5.4.1-0.2
2024-04-10 14:02:55 status unpacked liblzma5:amd64 5.4.1-0.2
2024-04-10 14:02:55 install libmd0:amd64 <none> 1.1.0-1
2024-04-10 14:02:55 status half-installed libmd0:amd64 1.1.0-1
2024-04-10 14:02:55 status unpacked libmd0:amd64 1.1.0-1
2024-04-10 14:02:55 install libmount1:amd64 <none> 2.39.1-4ubuntu2
2024-04-10 14:02:55 status half-installed libmount1:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:55 status unpacked libmount1:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:55 install libncursesw6:amd64 <none> 6.4+20230625-2
2024-04-10 14:02:55 status half-installed libncursesw6:amd64 6.4+20230625-2
2024-04-10 14:02:55 status unpacked libncursesw6:amd64 6.4+20230625-2
2024-04-10 14:02:55 install libpam-modules:amd64 <none> 1.5.2-6ubuntu1
2024-04-10 14:02:55 status half-installed libpam-modules:amd64 1.5.2-6ubuntu1
2024-04-10 14:02:55 status unpacked libpam-modules:amd64 1.5.2-6ubuntu1
2024-04-10 14:02:55 install libpam-modules-bin:amd64 <none> 1.5.2-6ubuntu1
2024-04-10 14:02:55 status half-installed libpam-modules-bin:amd64 1.5.2-6ubuntu1
2024-04-10 14:02:55 status unpacked libpam-modules-bin:amd64 1.5.2-6ubuntu1
2024-04-10 14:02:55 install libpam-runtime:all <none> 1.5.2-6ubuntu1
2024-04-10 14:02:55 status half-installed libpam-runtime:all 1.5.2-6ubuntu1
2024-04-10 14:02:55 status unpacked libpam-runtime:all 1.5.2-6ubuntu1
2024-04-10 14:02:55 install libpam0g:amd64 <none> 1.5.2-6ubuntu1
2024-04-10 14:02:55 status half-installed libpam0g:amd64 1.5.2-6ubuntu1
2024-04-10 14:02:55 status unpacked libpam0g:amd64 1.5.2-6ubuntu1
2024-04-10 14:02:55 install libpcre2-8-0:amd64 <none> 10.42-4
2024-04-10 14:02:55 status half-installed libpcre2-8-0:amd64 10.42-4
2024-04-10 14:02:55 status unpacked libpcre2-8-0:amd64 10.42-4
2024-04-10 14:02:55 install libproc2-0:amd64 <none> 2:4.0.3-1ubuntu1
2024-04-10 14:02:55 status half-installed libproc2-0:amd64 2:4.0.3-1ubuntu1
2024-04-10 14:02:56 status unpacked libproc2-0:amd64 2:4.0.3-1ubuntu1
2024-04-10 14:02:56 install libselinux1:amd64 <none> 3.5-1
2024-04-10 14:02:56 status half-installed libselinux1:amd64 3.5-1
2024-04-10 14:02:56 status unpacked libselinux1:amd64 3.5-1
2024-04-10 14:02:56 install libsemanage-common:all <none> 3.5-1
2024-04-10 14:02:56 status half-installed libsemanage-common:all 3.5-1
2024-04-10 14:02:56 status unpacked libsemanage-common:all 3.5-1
2024-04-10 14:02:56 install libsemanage2:amd64 <none> 3.5-1
2024-04-10 14:02:56 status half-installed libsemanage2:amd64 3.5-1
2024-04-10 14:02:56 status unpacked libsemanage2:amd64 3.5-1
2024-04-10 14:02:56 install libsepol2:amd64 <none> 3.5-1
2024-04-10 14:02:56 status half-installed libsepol2:amd64 3.5-1
2024-04-10 14:02:56 status unpacked libsepol2:amd64 3.5-1
2024-04-10 14:02:56 install libsmartcols1:amd64 <none> 2.39.1-4ubuntu2
2024-04-10 14:02:56 status half-installed libsmartcols1:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:56 status unpacked libsmartcols1:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:56 install libss2:amd64 <none> 1.47.0-2ubuntu1
2024-04-10 14:02:56 status half-installed libss2:amd64 1.47.0-2ubuntu1
2024-04-10 14:02:56 status unpacked libss2:amd64 1.47.0-2ubuntu1
2024-04-10 14:02:56 install libsystemd0:amd64 <none> 253.5-1ubuntu6
2024-04-10 14:02:56 status half-installed libsystemd0:amd64 253.5-1ubuntu6
2024-04-10 14:02:56 status unpacked libsystemd0:amd64 253.5-1ubuntu6
2024-04-10 14:02:56 install libtinfo6:amd64 <none> 6.4+20230625-2
2024-04-10 14:02:56 status half-installed libtinfo6:amd64 6.4+20230625-2
2024-04-10 14:02:56 status unpacked libtinfo6:amd64 6.4+20230625-2
